PG,SG,SF,PF,C,G,F,UTIL,salary,fpts
Andrew Nembhard,Donovan Mitchell,Michael Porter,Jay Huff,Nic Claxton,Craig Porter,Drake Powell,Jamal Shead,50000,122.57
Craig Porter,Donovan Mitchell,Aaron Nesmith,Pascal Siakam,Nic Claxton,Jaylon Tyson,Jordan Miller,Jamal Shead,50000,122.545
Andrew Nembhard,Coby White,Johnny Furphy,Pascal Siakam,Nic Claxton,Jamal Shead,Jarace Walker,Scottie Barnes,50000,122.545
Jamal Shead,Donovan Mitchell,Jarace Walker,Pascal Siakam,Jay Huff,Jaylon Tyson,Kevin Huerter,Brandon Ingram,50000,122.535
Tyrese Maxey,Coby White,Jarace Walker,Jay Huff,Joel Embiid,Jamal Shead,Noah Clowney,Nic Claxton,50000,122.525
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Jay Huff,Joel Embiid,Jaylon Tyson,Isaac Okoro,Nic Claxton,50000,122.52
Andrew Nembhard,Brandon Ingram,Aaron Nesmith,Jay Huff,Joel Embiid,Craig Porter,Noah Clowney,Jamal Shead,49900,122.50999999999999
Andrew Nembhard,Brandon Ingram,Kevin Huerter,Pascal Siakam,Nic Claxton,Craig Porter,Noah Clowney,Jamal Shead,50000,122.505
Andrew Nembhard,Jaylon Tyson,Johnny Furphy,Jay Huff,Nic Claxton,Brandon Ingram,Michael Porter,Coby White,50000,122.485
Jamal Shead,Donovan Mitchell,Johnny Furphy,Jay Huff,Ivica Zubac,Brandon Ingram,Matas Buzelis,Nic Claxton,50000,122.47999999999999
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Scottie Barnes,Ivica Zubac,Brandon Ingram,Gradey Dick,Nic Claxton,50000,122.475
Andrew Nembhard,Brandon Ingram,Aaron Nesmith,Pascal Siakam,Jay Huff,Jamal Shead,Drake Powell,Ivica Zubac,49800,122.465
Andrew Nembhard,Jaylon Tyson,Johnny Furphy,Pascal Siakam,Jay Huff,Craig Porter,Michael Porter,Ivica Zubac,50000,122.465
Andrew Nembhard,Brandon Ingram,Aaron Nesmith,Jay Huff,Nic Claxton,Coby White,Jarace Walker,Nikola Vucevic,50000,122.46
Craig Porter,Jaylon Tyson,Aaron Nesmith,Jay Huff,Ivica Zubac,Brandon Ingram,Scottie Barnes,Nic Claxton,50000,122.455
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Collin Murray-Boyles,Ivica Zubac,Coby White,Michael Porter,Nic Claxton,50000,122.45
TJ McConnell,Donovan Mitchell,Johnny Furphy,Pascal Siakam,Nic Claxton,Brandon Ingram,Jarace Walker,Jamal Shead,49900,122.44
Andrew Nembhard,Jaylon Tyson,Johnny Furphy,Scottie Barnes,Joel Embiid,Jamal Shead,Jordan Miller,Nic Claxton,50000,122.435
TJ McConnell,Brandon Ingram,Jarace Walker,Jay Huff,Ivica Zubac,Jamal Shead,Michael Porter,Nikola Vucevic,50000,122.43
Jamal Shead,Donovan Mitchell,Jarace Walker,Jay Huff,Joel Embiid,Jaylon Tyson,Matas Buzelis,Coby White,50000,122.41
Andrew Nembhard,Gradey Dick,Michael Porter,Jay Huff,Joel Embiid,Jamal Shead,Jordan Miller,Nic Claxton,50000,122.395
Andrew Nembhard,Donovan Mitchell,Johnny Furphy,Jay Huff,Joel Embiid,Jamal Shead,Drake Powell,Ivica Zubac,50000,122.395
Andrew Nembhard,Jaylon Tyson,Michael Porter,Noah Clowney,Nic Claxton,Brandon Ingram,Jordan Miller,Jamal Shead,49900,122.375
TJ McConnell,Jaylon Tyson,Jarace Walker,Pascal Siakam,Joel Embiid,Brandon Ingram,Gradey Dick,Nic Claxton,50000,122.37
TJ McConnell,Coby White,Gradey Dick,Pascal Siakam,Joel Embiid,Jamal Shead,Jay Huff,Ivica Zubac,49900,122.37
