PG,SG,SF,PF,C,G,F,UTIL,salary,fpts
Craig Porter,Trey Murphy,Jaylon Tyson,Jay Huff,Nikola Vucevic,Brandon Ingram,Matas Buzelis,Jamal Shead,50000,120.92999999999999
Jamal Shead,Trey Murphy,Jaylon Tyson,Pascal Siakam,Ivica Zubac,Brandon Ingram,Noah Clowney,Nolan Traore,50000,120.925
TJ McConnell,Jaylon Tyson,Jordan Miller,Pascal Siakam,Jarrett Allen,Tyrese Maxey,Jay Huff,Nic Claxton,50000,120.925
Craig Porter,Jaylon Tyson,Aaron Nesmith,Zion Williamson,Nic Claxton,Tyrese Maxey,Kevin Huerter,Jamal Shead,50000,120.925
TJ McConnell,Jordan Miller,Aaron Nesmith,Zion Williamson,Ivica Zubac,Jamal Shead,Scottie Barnes,Nic Claxton,49900,120.92
Andrew Nembhard,Trey Murphy,Johnny Furphy,Nae'Qwan Tomlin,Joel Embiid,Jamal Shead,Zion Williamson,Jay Huff,50000,120.92
TJ McConnell,Donovan Mitchell,Jordan Miller,Jay Huff,Joel Embiid,Coby White,Collin Murray-Boyles,Jamal Shead,49900,120.92
TJ McConnell,Donovan Mitchell,Jarace Walker,Pascal Siakam,Jay Huff,Drake Powell,Scottie Barnes,Nic Claxton,50000,120.92
Egor Demin,Brandon Ingram,Aaron Nesmith,Nae'Qwan Tomlin,Ivica Zubac,Jamal Shead,Michael Porter,Nic Claxton,50000,120.915
Andrew Nembhard,Donovan Mitchell,Aaron Nesmith,Jay Huff,Nic Claxton,Coby White,De'Andre Hunter,Noah Clowney,50000,120.91499999999999
Andrew Nembhard,Lonzo Ball,Jarace Walker,Pascal Siakam,Ivica Zubac,Craig Porter,Noah Clowney,Tyrese Maxey,50000,120.91499999999999
Andrew Nembhard,Ayo Dosunmu,Johnny Furphy,Pascal Siakam,Ivica Zubac,Craig Porter,Zion Williamson,Jamal Shead,50000,120.91499999999999
Lonzo Ball,Donovan Mitchell,Jarace Walker,Zion Williamson,Ivica Zubac,Jamal Shead,Paul George,Nic Claxton,50000,120.91499999999999
Craig Porter,Brandon Ingram,Aaron Nesmith,Nae'Qwan Tomlin,Nic Claxton,Jamal Shead,Zion Williamson,Nikola Vucevic,49900,120.91499999999999
Craig Porter,Donovan Mitchell,Jaylon Tyson,Jay Huff,Ivica Zubac,TJ McConnell,Jordan Miller,Tyrese Maxey,49800,120.91
Andrew Nembhard,Donovan Mitchell,Johnny Furphy,Dominick Barlow,Nic Claxton,Jaylon Tyson,Michael Porter,Jamal Shead,50000,120.91
Lonzo Ball,Jaylon Tyson,De'Andre Hunter,Zion Williamson,Joel Embiid,Brandon Ingram,Jay Huff,Nic Claxton,49900,120.91
Jamal Shead,Brandon Ingram,Jarace Walker,Pascal Siakam,Jay Huff,Tre Jones,Michael Porter,Noah Clowney,50000,120.91
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Noah Clowney,Joel Embiid,Lonzo Ball,Drake Powell,Nic Claxton,50000,120.91
Andrew Nembhard,Gradey Dick,Aaron Nesmith,Pascal Siakam,Nic Claxton,Craig Porter,Jarace Walker,Michael Porter,49900,120.91
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Nae'Qwan Tomlin,Jarrett Allen,Jamal Shead,Pascal Siakam,Noah Clowney,50000,120.91
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Derik Queen,Nic Claxton,Craig Porter,Matas Buzelis,Brandon Ingram,50000,120.905
Andrew Nembhard,Brandon Ingram,Jarace Walker,Noah Clowney,Joel Embiid,Craig Porter,Collin Murray-Boyles,Coby White,50000,120.905
Craig Porter,Trey Murphy,De'Andre Hunter,Pascal Siakam,Nic Claxton,Jamal Shead,Jarace Walker,Nikola Vucevic,50000,120.905
Craig Porter,Donovan Mitchell,Aaron Nesmith,Nae'Qwan Tomlin,Ivica Zubac,Jamal Shead,Pascal Siakam,De'Andre Hunter,50000,120.905
Tyrese Maxey,Coby White,Jordan Miller,Zion Williamson,Jay Huff,Jamal Shead,Collin Murray-Boyles,Nic Claxton,50000,120.9
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Zion Williamson,Nic Claxton,Lonzo Ball,Collin Murray-Boyles,Brandon Ingram,50000,120.89999999999999
Jamal Shead,Brandon Ingram,Aaron Nesmith,Zion Williamson,Jay Huff,Drake Powell,Scottie Barnes,Nic Claxton,50000,120.89999999999999
Tyrese Maxey,Donovan Mitchell,Jarace Walker,Jay Huff,Ivica Zubac,Gradey Dick,Noah Clowney,Nic Claxton,50000,120.895
Craig Porter,Donovan Mitchell,De'Andre Hunter,Jay Huff,Ivica Zubac,Jamal Shead,Michael Porter,Noah Clowney,50000,120.895
Craig Porter,Brandon Ingram,Kevin Huerter,Jay Huff,Ivica Zubac,Tyrese Maxey,Matas Buzelis,Jamal Shead,50000,120.895
Craig Porter,Brandon Ingram,Jarace Walker,Pascal Siakam,Nikola Vucevic,TJ McConnell,Paul George,Jamal Shead,50000,120.895
Lonzo Ball,Jaylon Tyson,Aaron Nesmith,Zion Williamson,Joel Embiid,Jamal Shead,Collin Murray-Boyles,Ivica Zubac,50000,120.895
Jamal Shead,Donovan Mitchell,Jarace Walker,Jay Huff,Nikola Vucevic,Jaylon Tyson,Michael Porter,Gradey Dick,49900,120.885
Craig Porter,Donovan Mitchell,Aaron Nesmith,Nae'Qwan Tomlin,Ivica Zubac,Brandon Ingram,Noah Clowney,Nic Claxton,50000,120.88499999999999
Andrew Nembhard,Jaylon Tyson,Michael Porter,Derik Queen,Ivica Zubac,Craig Porter,Kevin Huerter,Jamal Shead,49900,120.88
Andrew Nembhard,Coby White,Aaron Nesmith,Collin Murray-Boyles,Nic Claxton,Jamal Shead,Michael Porter,Jordan Miller,49900,120.88
Jamal Shead,Brandon Ingram,Gradey Dick,Pascal Siakam,Jay Huff,Coby White,Zion Williamson,Noah Clowney,50000,120.875
Andrew Nembhard,Trey Murphy,Drake Powell,Jay Huff,Ivica Zubac,Brandon Ingram,Collin Murray-Boyles,Nic Claxton,49900,120.875
TJ McConnell,Donovan Mitchell,Jaylon Tyson,Jay Huff,Joel Embiid,Tre Jones,Jordan Miller,Nic Claxton,49800,120.875
Craig Porter,Jaylon Tyson,Johnny Furphy,Pascal Siakam,Joel Embiid,Brandon Ingram,Drake Powell,Ivica Zubac,49900,120.875
Tyrese Maxey,Jaylon Tyson,Jarace Walker,Jay Huff,Joel Embiid,Jamal Shead,Michael Porter,Nolan Traore,49800,120.87
Andrew Nembhard,Drake Powell,Jordan Miller,Zion Williamson,Joel Embiid,Jamal Shead,Collin Murray-Boyles,Ivica Zubac,50000,120.87
Tyrese Maxey,Jaylon Tyson,Jarace Walker,Nae'Qwan Tomlin,Joel Embiid,Jamal Shead,Zion Williamson,Noah Clowney,50000,120.87
Andrew Nembhard,Jaylon Tyson,Johnny Furphy,Jarace Walker,Joel Embiid,Lonzo Ball,Michael Porter,Brandon Ingram,50000,120.87
Jamal Shead,Trey Murphy,Jaylon Tyson,Nae'Qwan Tomlin,Jarrett Allen,Brandon Ingram,Pascal Siakam,Jay Huff,50000,120.87
Jamal Shead,Donovan Mitchell,Jarace Walker,Nae'Qwan Tomlin,Ivica Zubac,Brandon Ingram,Paul George,Coby White,50000,120.87
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Jay Huff,Ivica Zubac,Brandon Ingram,John Collins,Coby White,49800,120.87
Andrew Nembhard,Jaylon Tyson,De'Andre Hunter,Pascal Siakam,Day'Ron Sharpe,Craig Porter,Scottie Barnes,Jamal Shead,50000,120.87
Andrew Nembhard,Lonzo Ball,Johnny Furphy,Pascal Siakam,Ivica Zubac,Jamal Shead,Matas Buzelis,Nikola Vucevic,50000,120.865
Andrew Nembhard,Brandon Ingram,Jarace Walker,Pascal Siakam,Nic Claxton,Coby White,Isaac Okoro,Collin Murray-Boyles,50000,120.865
Andrew Nembhard,Jaylon Tyson,Michael Porter,Zion Williamson,Jay Huff,Gradey Dick,Noah Clowney,Ivica Zubac,50000,120.865
TJ McConnell,Donovan Mitchell,Jaylon Tyson,Nae'Qwan Tomlin,Nic Claxton,Brandon Ingram,Jordan Miller,Nikola Vucevic,50000,120.86
Egor Demin,Donovan Mitchell,Jaylon Tyson,Nae'Qwan Tomlin,Nic Claxton,Jamal Shead,Pascal Siakam,Collin Murray-Boyles,49900,120.86
Andrew Nembhard,Brandon Ingram,Jarace Walker,Pascal Siakam,Ivica Zubac,Coby White,Drake Powell,Tre Jones,50000,120.86
Tyrese Maxey,Brandon Ingram,Jarace Walker,Matas Buzelis,Ivica Zubac,Coby White,Jordan Miller,Jamal Shead,50000,120.86
TJ McConnell,Donovan Mitchell,Jarace Walker,Jay Huff,Joel Embiid,Coby White,Ayo Dosunmu,Nic Claxton,50000,120.855
TJ McConnell,Jaylon Tyson,Michael Porter,Pascal Siakam,Jay Huff,Nolan Traore,Zion Williamson,Ivica Zubac,50000,120.855
Andrew Nembhard,Lonzo Ball,Johnny Furphy,Pascal Siakam,Joel Embiid,Craig Porter,Matas Buzelis,Nic Claxton,50000,120.85499999999999
Lonzo Ball,Coby White,Aaron Nesmith,Jarace Walker,Joel Embiid,Jamal Shead,Scottie Barnes,Ivica Zubac,50000,120.85
Craig Porter,Kevin Huerter,Aaron Nesmith,Pascal Siakam,Jay Huff,Jamal Shead,Scottie Barnes,Ivica Zubac,49900,120.85
Andrew Nembhard,Jaylon Tyson,De'Andre Hunter,Jay Huff,Joel Embiid,Craig Porter,Noah Clowney,Scottie Barnes,50000,120.85
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Noah Clowney,Nic Claxton,Brandon Ingram,Collin Murray-Boyles,Nolan Traore,50000,120.85
Andrew Nembhard,Donovan Mitchell,De'Andre Hunter,Zion Williamson,Ivica Zubac,Jamal Shead,Jarace Walker,Kris Dunn,50000,120.845
Andrew Nembhard,Donovan Mitchell,De'Andre Hunter,Pascal Siakam,Nic Claxton,Jordan Miller,Jarace Walker,Noah Clowney,50000,120.845
TJ McConnell,Brandon Ingram,Johnny Furphy,Paul George,Ivica Zubac,Jamal Shead,Scottie Barnes,Nic Claxton,50000,120.845
Andrew Nembhard,Trey Murphy,Jaylon Tyson,John Collins,Nic Claxton,Brandon Ingram,Gradey Dick,Jamal Shead,50000,120.84
Andrew Nembhard,Coby White,Johnny Furphy,Jay Huff,Nic Claxton,Craig Porter,Scottie Barnes,Nikola Vucevic,49900,120.84
TJ McConnell,Brandon Ingram,Jarace Walker,Jay Huff,Nic Claxton,Tyrese Maxey,Scottie Barnes,Jordan Miller,50000,120.83500000000001
Craig Porter,Jaylon Tyson,Drake Powell,Pascal Siakam,Ivica Zubac,Tyrese Maxey,Noah Clowney,Nic Claxton,49900,120.835
Tyrese Maxey,Jaylon Tyson,Jordan Miller,Noah Clowney,Joel Embiid,Jamal Shead,Kevin Huerter,Nic Claxton,50000,120.83
TJ McConnell,Jaylon Tyson,De'Andre Hunter,Nae'Qwan Tomlin,Joel Embiid,Coby White,Pascal Siakam,Ivica Zubac,49900,120.83
Craig Porter,Jaylon Tyson,Michael Porter,Jay Huff,Joel Embiid,Brandon Ingram,Karlo Matkovic,Nic Claxton,50000,120.83
Andrew Nembhard,Lonzo Ball,Michael Porter,Zion Williamson,Jay Huff,Brandon Ingram,Gradey Dick,Jamal Shead,50000,120.83
Craig Porter,Jaylon Tyson,Michael Porter,Noah Clowney,Ivica Zubac,Tyrese Maxey,Jordan Miller,Jamal Shead,50000,120.83
Andrew Nembhard,Jaylon Tyson,De'Andre Hunter,Scottie Barnes,Ivica Zubac,Jamal Shead,Drake Powell,Nikola Vucevic,50000,120.83
Andrew Nembhard,Coby White,Aaron Nesmith,Pascal Siakam,Jay Huff,Gradey Dick,Matas Buzelis,Ivica Zubac,50000,120.825
Craig Porter,Donovan Mitchell,Jaylon Tyson,Jay Huff,Nic Claxton,Coby White,Kevin Huerter,Nikola Vucevic,49900,120.825
Tre Jones,Donovan Mitchell,Johnny Furphy,Nae'Qwan Tomlin,Ivica Zubac,Jaylon Tyson,Pascal Siakam,Nic Claxton,50000,120.825
Andrew Nembhard,Jaylon Tyson,Kevin Huerter,Jay Huff,Joel Embiid,Brandon Ingram,Noah Clowney,Collin Murray-Boyles,50000,120.825
Andrew Nembhard,Donovan Mitchell,Johnny Furphy,Pascal Siakam,Derik Queen,Lonzo Ball,Jay Huff,Jamal Shead,50000,120.82
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Pascal Siakam,Nic Claxton,Craig Porter,Isaac Okoro,Lonzo Ball,49900,120.82
Andrew Nembhard,Brandon Ingram,Aaron Nesmith,Zion Williamson,Jay Huff,Craig Porter,Ayo Dosunmu,Nic Claxton,50000,120.82
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Pascal Siakam,Jay Huff,Brandon Ingram,De'Andre Hunter,Egor Demin,50000,120.82
Jamal Shead,Jaylon Tyson,Michael Porter,Nae'Qwan Tomlin,Ivica Zubac,Nolan Traore,Pascal Siakam,Nikola Vucevic,50000,120.82
Andrew Nembhard,Donovan Mitchell,Gradey Dick,Nae'Qwan Tomlin,Ivica Zubac,Jamal Shead,Zion Williamson,Noah Clowney,50000,120.815
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Nae'Qwan Tomlin,Nic Claxton,Tyrese Maxey,Collin Murray-Boyles,Nikola Vucevic,49900,120.815
TJ McConnell,Cam Thomas,Jarace Walker,Pascal Siakam,Ivica Zubac,Jamal Shead,Scottie Barnes,Nic Claxton,49900,120.815
Jeremiah Fears,Jaylon Tyson,Aaron Nesmith,Jarace Walker,Ivica Zubac,Brandon Ingram,Michael Porter,Nic Claxton,50000,120.815
Andrew Nembhard,Trey Murphy,Aaron Nesmith,Matas Buzelis,Ivica Zubac,Jamal Shead,Jordan Miller,Nic Claxton,49800,120.815
Craig Porter,Jaylon Tyson,Michael Porter,Pascal Siakam,Jarrett Allen,Jamal Shead,Jay Huff,Matas Buzelis,50000,120.815
Jamal Shead,Trey Murphy,De'Andre Hunter,Jay Huff,Ivica Zubac,Jaylon Tyson,Scottie Barnes,Coby White,50000,120.81
TJ McConnell,Donovan Mitchell,De'Andre Hunter,Zion Williamson,Jay Huff,Jamal Shead,Matas Buzelis,Ivica Zubac,50000,120.81
Craig Porter,Jaylon Tyson,Jarace Walker,Matas Buzelis,Joel Embiid,Tyrese Maxey,Noah Clowney,Nic Claxton,50000,120.805
TJ McConnell,Coby White,Aaron Nesmith,Pascal Siakam,Joel Embiid,Jordan Miller,Jarace Walker,Ivica Zubac,49900,120.805
TJ McConnell,Brandon Ingram,De'Andre Hunter,Jay Huff,Ivica Zubac,Tyrese Maxey,Noah Clowney,Nic Claxton,49900,120.805
Andrew Nembhard,Brandon Ingram,Isaac Okoro,Jay Huff,Joel Embiid,Coby White,Gradey Dick,Nic Claxton,49900,120.805
TJ McConnell,Ayo Dosunmu,Aaron Nesmith,Zion Williamson,Joel Embiid,Jamal Shead,Jay Huff,Ivica Zubac,50000,120.80499999999999
Jamal Shead,Donovan Mitchell,Jarace Walker,Nae'Qwan Tomlin,Joel Embiid,Nolan Traore,Michael Porter,Nic Claxton,49900,120.8
Andrew Nembhard,Lonzo Ball,Paul George,Pascal Siakam,Jay Huff,Craig Porter,Scottie Barnes,Jamal Shead,50000,120.8
Craig Porter,Lonzo Ball,Michael Porter,Nae'Qwan Tomlin,Joel Embiid,Jamal Shead,Zion Williamson,Nic Claxton,50000,120.8
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Nae'Qwan Tomlin,Ivica Zubac,Coby White,Pascal Siakam,Tre Jones,49900,120.8
Lonzo Ball,Brandon Ingram,Aaron Nesmith,Pascal Siakam,Joel Embiid,Drake Powell,Jay Huff,Nic Claxton,50000,120.8
Andrew Nembhard,Trey Murphy,De'Andre Hunter,Jarace Walker,Nic Claxton,Brandon Ingram,Paul George,Jamal Shead,50000,120.8
Egor Demin,Kevin Huerter,Jarace Walker,Pascal Siakam,Ivica Zubac,Jamal Shead,Michael Porter,Nic Claxton,49900,120.8
Craig Porter,Trey Murphy,Jarace Walker,Zion Williamson,Jay Huff,Jamal Shead,Scottie Barnes,Ivica Zubac,49900,120.795
Andrew Nembhard,Brandon Ingram,De'Andre Hunter,Pascal Siakam,Jarrett Allen,Coby White,Jay Huff,Jarace Walker,50000,120.795
Craig Porter,Jaylon Tyson,Aaron Nesmith,Pascal Siakam,Joel Embiid,Jamal Shead,Collin Murray-Boyles,Kevin Huerter,50000,120.795
TJ McConnell,VJ Edgecombe,Johnny Furphy,Pascal Siakam,Joel Embiid,Jaylon Tyson,Jay Huff,Ivica Zubac,50000,120.795
Andrew Nembhard,Trey Murphy,De'Andre Hunter,Jay Huff,Ivica Zubac,Craig Porter,Jaylon Tyson,Nikola Vucevic,49900,120.78999999999999
Andrew Nembhard,Brandon Ingram,Kevin Huerter,Nae'Qwan Tomlin,Jay Huff,Jamal Shead,Zion Williamson,Nikola Vucevic,49900,120.78999999999999
Andrew Nembhard,Kevin Huerter,Paul George,Zion Williamson,Ivica Zubac,Jamal Shead,Noah Clowney,Nic Claxton,50000,120.78999999999999
TJ McConnell,Trey Murphy,Jarace Walker,Pascal Siakam,Nic Claxton,Jamal Shead,Michael Porter,Gradey Dick,50000,120.78999999999999
Craig Porter,Donovan Mitchell,Jarace Walker,Scottie Barnes,Nikola Vucevic,Jaylon Tyson,Jordan Miller,Jamal Shead,50000,120.78999999999999
Andrew Nembhard,Trey Murphy,Jaylon Tyson,Derik Queen,Nic Claxton,Coby White,Kevin Huerter,Jamal Shead,50000,120.78999999999999
Jamal Shead,Jaylon Tyson,Aaron Nesmith,Matas Buzelis,Joel Embiid,Coby White,Noah Clowney,Ivica Zubac,49800,120.785
Andrew Nembhard,Gradey Dick,Isaac Okoro,Pascal Siakam,Jay Huff,Jamal Shead,Scottie Barnes,Ivica Zubac,49900,120.785
Andrew Nembhard,Lonzo Ball,De'Andre Hunter,Derik Queen,Ivica Zubac,Jamal Shead,Michael Porter,Nic Claxton,50000,120.785
Andrew Nembhard,Brandon Ingram,Jordan Miller,Nae'Qwan Tomlin,Joel Embiid,Coby White,Kevin Huerter,Nic Claxton,50000,120.785
TJ McConnell,Donovan Mitchell,Jordan Miller,Jay Huff,Jarrett Allen,Jamal Shead,Scottie Barnes,Nic Claxton,50000,120.785
Tyrese Maxey,Jaylon Tyson,Drake Powell,Zion Williamson,Nic Claxton,Brandon Ingram,Jordan Miller,Jamal Shead,49900,120.785
Craig Porter,Brandon Ingram,Johnny Furphy,Zion Williamson,Ivica Zubac,Tyrese Maxey,Jarace Walker,Jamal Shead,49800,120.785
Craig Porter,Jaylon Tyson,De'Andre Hunter,Pascal Siakam,Joel Embiid,TJ McConnell,Jordan Miller,Brandon Ingram,50000,120.785
Andrew Nembhard,Ben Sheppard,Jaylon Tyson,Nae'Qwan Tomlin,Joel Embiid,Craig Porter,Pascal Siakam,Brandon Ingram,50000,120.78
Andrew Nembhard,Lonzo Ball,Jarace Walker,Nae'Qwan Tomlin,Joel Embiid,Coby White,Michael Porter,Ivica Zubac,50000,120.78
TJ McConnell,Donovan Mitchell,Kelly Oubre,Jarace Walker,Ivica Zubac,Jamal Shead,Michael Porter,Nic Claxton,50000,120.775
Jamal Shead,Donovan Mitchell,De'Andre Hunter,Jarace Walker,Nikola Vucevic,Jaylon Tyson,Noah Clowney,Brandon Ingram,50000,120.775
TJ McConnell,Donovan Mitchell,De'Andre Hunter,Jarace Walker,Joel Embiid,Brandon Ingram,Jordan Miller,Jamal Shead,49900,120.775
Jamal Shead,Jaylon Tyson,Isaac Okoro,Zion Williamson,Joel Embiid,Coby White,Collin Murray-Boyles,Nic Claxton,50000,120.775
Lonzo Ball,Trey Murphy,Jaylon Tyson,Collin Murray-Boyles,Ivica Zubac,Jamal Shead,Michael Porter,Nic Claxton,50000,120.775
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Pascal Siakam,Day'Ron Sharpe,Brandon Ingram,Zion Williamson,Jordan Miller,50000,120.77499999999999
TJ McConnell,Donovan Mitchell,Johnny Furphy,Scottie Barnes,Ivica Zubac,Jaylon Tyson,Collin Murray-Boyles,Jamal Shead,50000,120.77499999999999
Tyrese Maxey,Donovan Mitchell,Jarace Walker,Derik Queen,Jay Huff,Jaylon Tyson,Noah Clowney,Jamal Shead,50000,120.77
Craig Porter,Donovan Mitchell,Jordan Miller,Zion Williamson,Derik Queen,Jamal Shead,Jay Huff,Ivica Zubac,50000,120.77
Andrew Nembhard,Coby White,Michael Porter,Zion Williamson,Jay Huff,Craig Porter,Drake Powell,Ivica Zubac,50000,120.77
Andrew Nembhard,Lonzo Ball,Jarace Walker,Pascal Siakam,Joel Embiid,Craig Porter,Gradey Dick,Brandon Ingram,49900,120.77
TJ McConnell,Donovan Mitchell,Jarace Walker,Pascal Siakam,Jay Huff,Jaylon Tyson,Zion Williamson,Egor Demin,50000,120.77
Andrew Nembhard,Lonzo Ball,Drake Powell,Pascal Siakam,Joel Embiid,Jamal Shead,Noah Clowney,Ivica Zubac,49700,120.765
Andrew Nembhard,Jordan Miller,Kevin Huerter,Nae'Qwan Tomlin,Ivica Zubac,Jamal Shead,Pascal Siakam,Scottie Barnes,50000,120.765
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Pascal Siakam,Ivica Zubac,Coby White,Paul George,Egor Demin,50000,120.76
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Nae'Qwan Tomlin,Joel Embiid,Gradey Dick,Collin Murray-Boyles,Nic Claxton,50000,120.76
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Zion Williamson,Derik Queen,Coby White,Jay Huff,Nikola Vucevic,50000,120.75999999999999
Craig Porter,Trey Murphy,Jaylon Tyson,Zion Williamson,Ivica Zubac,Coby White,Collin Murray-Boyles,Jamal Shead,50000,120.75999999999999
Craig Porter,Coby White,Saddiq Bey,Pascal Siakam,Jay Huff,Jamal Shead,Zion Williamson,Ivica Zubac,49900,120.75999999999999
TJ McConnell,Coby White,Jordan Miller,Pascal Siakam,Ivica Zubac,Jamal Shead,Noah Clowney,Scottie Barnes,50000,120.755
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Jarace Walker,Nic Claxton,Lonzo Ball,Michael Porter,Scottie Barnes,50000,120.75
Jamal Shead,Donovan Mitchell,Jarace Walker,Collin Murray-Boyles,Joel Embiid,Tre Jones,Jordan Miller,Nic Claxton,50000,120.745
Craig Porter,Brandon Ingram,Kevin Huerter,Jay Huff,Joel Embiid,Coby White,Matas Buzelis,Nic Claxton,50000,120.745
TJ McConnell,Jaylon Tyson,Jordan Miller,Zion Williamson,Ivica Zubac,Tyrese Maxey,Matas Buzelis,Jamal Shead,50000,120.745
Lonzo Ball,Jaylon Tyson,Jarace Walker,Zion Williamson,Nic Claxton,Brandon Ingram,Michael Porter,Coby White,50000,120.745
Tyrese Maxey,Jordan Miller,De'Andre Hunter,Jarace Walker,Ivica Zubac,Jamal Shead,Michael Porter,Nic Claxton,49900,120.74000000000001
Andrew Nembhard,Kevin Huerter,Jarace Walker,Jay Huff,Ivica Zubac,Tyrese Maxey,Paul George,Nic Claxton,49900,120.74000000000001
Jamal Shead,Coby White,Michael Porter,Pascal Siakam,Jay Huff,Kris Dunn,Noah Clowney,Ivica Zubac,50000,120.74
TJ McConnell,Donovan Mitchell,De'Andre Hunter,Pascal Siakam,Ivica Zubac,Coby White,Drake Powell,Jamal Shead,50000,120.74
Craig Porter,Lonzo Ball,Aaron Nesmith,Pascal Siakam,Joel Embiid,Jamal Shead,Jarace Walker,Nikola Vucevic,49900,120.735
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Nae'Qwan Tomlin,Ivica Zubac,Craig Porter,Michael Porter,Noah Clowney,50000,120.735
Andrew Nembhard,Donovan Mitchell,Johnny Furphy,Collin Murray-Boyles,Ivica Zubac,Jeremiah Fears,Jaylon Tyson,Nic Claxton,50000,120.735
Craig Porter,Brandon Ingram,Michael Porter,Jay Huff,Ivica Zubac,TJ McConnell,Matas Buzelis,Coby White,50000,120.735
Tyrese Maxey,Jaylon Tyson,Kevin Huerter,Nae'Qwan Tomlin,Nic Claxton,Jamal Shead,Pascal Siakam,Matas Buzelis,50000,120.73
Craig Porter,Jaylon Tyson,Aaron Nesmith,Zion Williamson,Joel Embiid,Coby White,Jordan Miller,Nic Claxton,49900,120.73
Tyrese Maxey,Brandon Ingram,Johnny Furphy,Jarace Walker,Joel Embiid,Jamal Shead,Isaac Okoro,Nic Claxton,50000,120.73
Tyrese Maxey,Jaylon Tyson,Johnny Furphy,Pascal Siakam,Nic Claxton,Jamal Shead,Zion Williamson,Nolan Traore,49900,120.73
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Matas Buzelis,Nikola Vucevic,Craig Porter,Drake Powell,Jamal Shead,49900,120.72999999999999
Craig Porter,Donovan Mitchell,Paul George,Pascal Siakam,Jay Huff,Jamal Shead,Isaac Okoro,Nic Claxton,50000,120.72999999999999
Andrew Nembhard,Brandon Ingram,Saddiq Bey,Jay Huff,Joel Embiid,Craig Porter,Jordan Miller,Nic Claxton,49800,120.725
TJ McConnell,Brandon Ingram,Johnny Furphy,Zion Williamson,Joel Embiid,Jamal Shead,Gradey Dick,Ivica Zubac,49900,120.725
Andrew Nembhard,Jaylon Tyson,Jarace Walker,Zion Williamson,Collin Murray-Boyles,Jamal Shead,Matas Buzelis,Scottie Barnes,50000,120.725
Andrew Nembhard,Jaylon Tyson,Aaron Nesmith,Nae'Qwan Tomlin,Jay Huff,Coby White,Zion Williamson,Michael Porter,50000,120.725
Andrew Nembhard,Donovan Mitchell,Jaylon Tyson,Nae'Qwan Tomlin,Jarrett Allen,Brandon Ingram,Jordan Miller,Jamal Shead,49800,120.725
Andrew Nembhard,Jaylon Tyson,Jordan Miller,Scottie Barnes,Ivica Zubac,Craig Porter,Kevin Huerter,Brandon Ingram,50000,120.715
TJ McConnell,Brandon Ingram,De'Andre Hunter,Pascal Siakam,Derik Queen,Jamal Shead,Jay Huff,Ivica Zubac,49700,120.715
TJ McConnell,Jaylon Tyson,Michael Porter,Pascal Siakam,Collin Murray-Boyles,Coby White,Noah Clowney,Jamal Shead,50000,120.715
Jamal Shead,Jaylon Tyson,Johnny Furphy,Pascal Siakam,Nic Claxton,Coby White,Matas Buzelis,Nikola Vucevic,49700,120.715
Jamal Shead,Jaylon Tyson,Drake Powell,Noah Clowney,Nic Claxton,Brandon Ingram,Scottie Barnes,Nikola Vucevic,50000,120.715
Jamal Shead,Donovan Mitchell,Isaac Okoro,Nae'Qwan Tomlin,Jay Huff,Brandon Ingram,Zion Williamson,Ivica Zubac,50000,120.715
Andrew Nembhard,Coby White,Johnny Furphy,Jay Huff,Joel Embiid,Nolan Traore,Michael Porter,Ivica Zubac,50000,120.71000000000001
Craig Porter,Coby White,Jarace Walker,Matas Buzelis,Joel Embiid,TJ McConnell,Michael Porter,Nic Claxton,50000,120.71000000000001
Tyrese Maxey,Brandon Ingram,Jarace Walker,Zion Williamson,Nic Claxton,Jamal Shead,Noah Clowney,Gradey Dick,50000,120.71000000000001
Jamal Shead,Brandon Ingram,De'Andre Hunter,Nae'Qwan Tomlin,Joel Embiid,Coby White,Collin Murray-Boyles,Ivica Zubac,50000,120.71000000000001
Andrew Nembhard,Coby White,Jarace Walker,Matas Buzelis,Nic Claxton,Tyrese Maxey,Ayo Dosunmu,Jamal Shead,50000,120.71000000000001
Andrew Nembhard,Donovan Mitchell,Jarace Walker,Jay Huff,Day'Ron Sharpe,Jamal Shead,Scottie Barnes,Collin Murray-Boyles,50000,120.71
Andrew Nembhard,Donovan Mitchell,Aaron Nesmith,Noah Clowney,Nic Claxton,Craig Porter,Jaylon Tyson,Tre Jones,49900,120.71
